date,price_cny_per_ton
2026-05-24,7037.67
2026-05-25,6927.67
2026-05-26,6854.33
2026-05-27,6717.67
2026-05-28,6594.33
2026-05-29,6567.67
2026-05-30,6567.67
2026-05-31,6567.67
2026-06-01,6581.00
2026-06-02,6601.00
2026-06-03,6637.67
2026-06-04,6664.33
2026-06-05,6677.67
2026-06-06,6677.67
2026-06-07,6677.67
2026-06-08,6734.33
2026-06-09,6751.00
2026-06-10,6741.00
2026-06-11,6741.00
2026-06-12,6744.33
2026-06-13,6744.33
2026-06-14,6744.33
2026-06-15,6584.33
2026-06-16,6384.33
2026-06-17,6334.33
2026-06-18,6151.00
2026-06-19,6151.00
2026-06-20,6151.00
2026-06-21,6151.00
2026-06-22,6117.67
2026-06-23,6117.67
2026-06-24,6064.33
2026-06-25,5857.67
2026-06-26,5784.33
2026-06-27,5784.33
2026-06-28,5784.33
2026-06-29,5727.67
2026-06-30,5721.00
2026-07-01,5741.00
2026-07-02,5724.33
2026-07-03,5714.33
2026-07-04,5714.33
2026-07-05,5714.33
2026-07-06,5697.67
2026-07-07,5704.33
2026-07-08,5757.67
2026-07-09,5757.67
2026-07-10,5977.67
2026-07-11,5977.67
2026-07-12,5977.67
2026-07-13,6050.00
2026-07-14,6176.67
2026-07-15,6293.33
2026-07-16,6493.33
2026-07-17,6500.00
2026-07-18,6500.00
2026-07-19,6500.00
2026-07-20,6783.33
2026-07-21,6840.00
2026-07-22,6840.00
2026-07-23,6856.67
2026-07-24,6940.00
2026-07-25,6940.00
2026-07-26,6940.00
2026-07-27,6800.00
2026-07-28,6600.00
2026-07-29,6600.00
2026-07-30,6600.00
2026-07-31,6620.00
2026-08-01,6620.00
2026-08-02,6620.00
2026-08-03,6466.67
2026-08-04,6416.67
2026-08-05,6416.67
2026-08-06,6416.67
2026-08-07,6450.00
2026-08-08,6450.00
2026-08-09,6450.00
2026-08-10,6633.33
2026-08-11,6666.67
2026-08-12,6716.67
2026-08-13,6733.33
2026-08-14,6733.33
2026-08-15,6743.33
2026-08-16,6743.33
2026-08-17,6833.33
2026-08-18,6956.67
2026-08-19,6956.67
2026-08-20,7110.00
2026-08-21,7143.33
2026-08-22,7143.33
2026-08-23,7143.33
2026-08-24,7360.00
2026-08-25,7383.33
2026-08-26,7316.67
2026-08-27,7206.67
2026-08-28,7206.67
2026-08-29,7206.67
